Gene Symbol	Annotation
AAMP:FLNA	GP
AAMP:RPL10	GP
ARIH1:LEPROTL1	GP
BRAT1:WRN	GP
CBFB:ADGRF1	GP
CBFB:ADGRG6	GP
CBFB:ADIRF	GP
CBFB:AGRN	GP
CBFB:AIF1L	GP
CBFB:AK1	GP
CBFB:ALDH7A1	GP
CBFB:ALS2CL	GP
CBFB:AMOTL2	GP
CBFB:AP1M2	GP
CBFB:AREG	GP
CBFB:ARHGEF28	GP
CBFB:ARHGEF5	GP
CBFB:ASAP2	GP
CBFB:ATP9A	GP
CBFB:BAIAP2	GP
CBFB:BCAR3	GP
CBFB:BCAS4	GP
CBFB:BOK	GP
CBFB:CAMSAP2	GP
CBFB:CASKIN2	GP
CBFB:CCND1	GP
CBFB:CD276	GP
CBFB:CD9	GP
CBFB:CEP170B	GP
CBFB:CLDN1	GP
CBFB:CLDN4	GP
CBFB:CLDN7	GP
CBFB:COL17A1	GP
CBFB:CORO1B	GP
CBFB:CRIP2	GP
CBFB:CTNND1	GP
CBFB:CTTN	GP
CBFB:CXCL16	GP
CBFB:CYP4F11	GP
CBFB:DDR1	GP
CBFB:DOCK1	GP
CBFB:DSP	GP
CBFB:EFNA1	GP
CBFB:EGFR	GP
CBFB:EHF	GP
CBFB:ELF3	GP
CBFB:EMP2	GP
CBFB:EPB41L1	GP
CBFB:EPHA2	GP
CBFB:EPS8L2	GP
CBFB:ERBB3	GP
CBFB:FAM83H-AS1	GP
CBFB:FGD6	GP
CBFB:FGFBP1	GP
CBFB:FNBP1L	GP
CBFB:FXYD3	GP
CBFB:GJB3	GP
CBFB:GNG12	GP
CBFB:GPC1	GP
CBFB:GPRC5A	GP
CBFB:HES1	GP
CBFB:HSBP1L1	GP
CBFB:ID1	GP
CBFB:IER3	GP
CBFB:PATJ	GP
CBFB:ITGB6	GP
CBFB:ITPRIPL2	GP
CBFB:KIAA1522	GP
CBFB:KIAA1671	GP
CBFB:KIF13A	GP
CBFB:KRT18	GP
CBFB:KRT8	GP
CBFB:LAMA5	GP
CBFB:LAMB2	GP
CBFB:LAMC2	GP
CBFB:LPIN3	GP
CBFB:MAL2	GP
CBFB:MALL	GP
CBFB:MANBAL	GP
CBFB:MARVELD2	GP
CBFB:MISP	GP
CBFB:AFDN	GP
CBFB:MYH14	GP
CBFB:MYO1B	GP
CBFB:MYO1C	GP
CBFB:MYO1E	GP
CBFB:MYO6	GP
CBFB:NCKAP1	GP
CBFB:NR2F2	GP
CBFB:OSBPL10	GP
CBFB:OVOL1	GP
CBFB:PACSIN3	GP
CBFB:PCBD1	GP
CBFB:PERP	GP
CBFB:PLCD3	GP
CBFB:PLEKHA1	GP
CBFB:PPL	GP
CBFB:PROM2	GP
CBFB:PTK2	GP
CBFB:PTPRF	GP
CBFB:PTPRS	GP
CBFB:RASEF	GP
CBFB:RHBDF1	GP
CBFB:RHOD	GP
CBFB:RND3	GP
CBFB:RTKN	GP
CBFB:S100A16	GP
CBFB:SCNN1A	GP
CBFB:SEPTIN10	GP
CBFB:SFN	GP
CBFB:SH3BP4	GP
CBFB:SH3D19	GP
CBFB:SHTN1	GP
CBFB:SOX13	GP
CBFB:SRC	GP
CBFB:STYK1	GP
CBFB:TEAD1	GP
CBFB:TEAD2	GP
CBFB:TJP1	GP
CBFB:TLE1	GP
CBFB:TMEM132A	GP
CBFB:TMEM54	GP
CBFB:TNK1	GP
CBFB:TOM1L1	GP
CBFB:TSPAN1	GP
CBFB:TSPAN15	GP
CBFB:TSPAN6	GP
CBFB:TUFT1	GP
CBFB:UGT1A6	GP
CBFB:WASL	GP
CBFB:WWC1	GP
CBFB:WWTR1	GP
CBFB:ZNF205	GP
CCND1:BTK	GP
CCND3:EXT1	GP
CDC42:PTK6	GP
CDK6:SLC34A2	GP
CDS2:MAP3K13	GP
CRK:LZTR1	GP
