Gene Symbol	Annotation
Aadac:B4galt1	GP
Aadac:Cers2	GP
Aadac:Dcps	GP
Aadac:Denr	GP
Aadac:Elovl1	GP
Aadac:Fut8	GP
Aadac:Golph3	GP
Aadac:Hsd17b12	GP
Aadac:Mgat2	GP
Aadac:Mgat3	GP
Aadac:Mgat4b	GP
Aadac:Mpi	GP
Aadac:Osbpl9	GP
Aadac:Pik3r4	GP
Aadac:Rabif	GP
Aadac:Slc10a7	GP
Aadac:Slc25a53	GP
Aadac:Slc30a1	GP
Aadac:Slc35c1	GP
Aadac:UGP2	GP
Aadac:Clasrp	GP
Aadac:Gabrb2	GP
Aadac:Vps35l	GP
Aadac:Ccdc93	GP
B4galt1:Cers2	GP
B4galt1:Dcps	GP
B4galt1:Denr	GP
B4galt1:Elovl1	GP
B4galt1:Fut8	GP
B4galt1:Golph3	GP
B4galt1:Hsd17b12	GP
B4galt1:Mgat2	GP
B4galt1:Mgat3	GP
B4galt1:Mgat4b	GP
B4galt1:Mpi	GP
B4galt1:Osbpl9	GP
B4galt1:Pik3r4	GP
B4galt1:Rabif	GP
B4galt1:Slc10a7	GP
B4galt1:Slc25a53	GP
B4galt1:Slc30a1	GP
B4galt1:Slc35c1	GP
B4galt1:UGP2	GP
B4galt1:Clasrp	GP
B4galt1:Gabrb2	GP
B4galt1:Vps35l	GP
B4galt1:Ccdc93	GP
Cers2:Dcps	GP
Cers2:Denr	GP
Cers2:Elovl1	GP
Cers2:Fut8	GP
Cers2:Golph3	GP
Cers2:Hsd17b12	GP
Cers2:Mgat2	GP
Cers2:Mgat3	GP
Cers2:Mgat4b	GP
Cers2:Mpi	GP
Cers2:Osbpl9	GP
Cers2:Pik3r4	GP
Cers2:Rabif	GP
Cers2:Slc10a7	GP
Cers2:Slc25a53	GP
Cers2:Slc30a1	GP
Cers2:Slc35c1	GP
Cers2:UGP2	GP
Cers2:Clasrp	GP
Cers2:Gabrb2	GP
Cers2:Vps35l	GP
Cers2:Ccdc93	GP
Dcps:Denr	GP
Dcps:Elovl1	GP
Dcps:Fut8	GP
Dcps:Golph3	GP
Dcps:Hsd17b12	GP
Dcps:Mgat2	GP
Dcps:Mgat3	GP
Dcps:Mgat4b	GP
Dcps:Mpi	GP
Dcps:Osbpl9	GP
Dcps:Pik3r4	GP
Dcps:Rabif	GP
Dcps:Slc10a7	GP
Dcps:Slc25a53	GP
Dcps:Slc30a1	GP
Dcps:Slc35c1	GP
Dcps:UGP2	GP
Dcps:Clasrp	GP
Dcps:Gabrb2	GP
Dcps:Vps35l	GP
Dcps:Ccdc93	GP
Denr:Elovl1	GP
Denr:Fut8	GP
Denr:Golph3	GP
Denr:Hsd17b12	GP
Denr:Mgat2	GP
Denr:Mgat3	GP
Denr:Mgat4b	GP
Denr:Mpi	GP
Denr:Osbpl9	GP
Denr:Pik3r4	GP
Denr:Rabif	GP
Denr:Slc10a7	GP
Denr:Slc25a53	GP
Denr:Slc30a1	GP
Denr:Slc35c1	GP
Denr:UGP2	GP
Denr:Clasrp	GP
Denr:Gabrb2	GP
Denr:Vps35l	GP
Denr:Ccdc93	GP
Elovl1:Fut8	GP
Elovl1:Golph3	GP
Elovl1:Hsd17b12	GP
Elovl1:Mgat2	GP
Elovl1:Mgat3	GP
Elovl1:Mgat4b	GP
Elovl1:Mpi	GP
Elovl1:Osbpl9	GP
Elovl1:Pik3r4	GP
Elovl1:Rabif	GP
Elovl1:Slc10a7	GP
Elovl1:Slc25a53	GP
Elovl1:Slc30a1	GP
Elovl1:Slc35c1	GP
Elovl1:UGP2	GP
Elovl1:Clasrp	GP
Elovl1:Gabrb2	GP
Elovl1:Vps35l	GP
Elovl1:Ccdc93	GP
Fut8:Golph3	GP
Fut8:Hsd17b12	GP
Fut8:Mgat2	GP
Fut8:Mgat3	GP
Fut8:Mgat4b	GP
Fut8:Mpi	GP
Fut8:Osbpl9	GP
Fut8:Pik3r4	GP
Fut8:Rabif	GP
Fut8:Slc10a7	GP
Fut8:Slc25a53	GP
Fut8:Slc30a1	GP
Fut8:Slc35c1	GP
